7557.95857   15.72414    0.00974 
7558.58475   15.73988    0.01029 
7559.06193   15.74619    0.01039 
7559.52679   15.79408    0.01044 
7560.13861   15.80212    0.01055 
7561.01504   15.82446    0.01060 
7561.46296   15.90010    0.01151 
7562.94297   16.02359    0.01230 
7563.60194   16.04068    0.01269 
7564.22903   16.06964    0.01209 
7565.09105   16.13860    0.01364 
7566.32271   16.15279    0.01299 
7567.31810   16.19327    0.01421 
7568.53176   16.25018    0.01506 
7569.81610   16.27116    0.01491 
7571.15014   16.35315    0.01621 
7571.71820   16.32680    0.01555 
7572.86455   16.32622    0.01563 
7574.35459   16.22680    0.01463 
7575.37994   16.25375    0.01468 
7576.56014   16.27461    0.01538 
7577.69393   16.29630    0.01573 
7578.74225   16.26173    0.01490 
7579.94811   16.37230    0.01661 
7581.05041   16.33101    0.01517 
7583.64904   16.52451    0.01876 
7584.57375   16.52093    0.01835 
7585.92973   16.55440    0.01888 
7587.24283   16.43571    0.01587 
7589.13912   16.48215    0.01652 
7589.82625   16.59967    0.01961 
7589.97876   16.59919    0.02016 
7591.45352   16.59053    0.01953 
7592.98237   16.55533    0.01828 
7593.91022   16.50859    0.01790 
7594.74344   16.59736    0.02007 
